"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"289","Darren Raddysh","T.B","D","66","1511.25","20","46","24","22","66","54.10","190","10.53","11.34","417","291","110","17","5","30","40","17","15","2","0","6","67","11","63","94","63","0","0","-"
"256","Nick Schmaltz","UTA","C","74","1458.0333333333","27","38","28","10","65","63.73","176","15.34","23.67","344","253","211","104","11","31","24","12","12","0","0","18","84","41","21","67","46","388","451","46.25"
"314","Mathew Barzal","NYI","C","73","1506.3666666667","18","47","26","21","65","64.36","163","11.04","21.46","333","252","158","74","5","37","59","20","17","1","2","26","84","39","29","56","44","203","307","39.80"
"5","Sidney Crosby","PIT","C","61","1183.2666666667","28","36","22","14","64","70.33","146","19.18","20.41","265","213","155","83","6","26","42","17","16","0","1","16","67","22","53","31","24","709","560","55.87"
"99","Mark Stone","VGK","R","52","1005.1833333333","23","41","28","13","64","68.82","110","20.91","21.23","210","177","150","102","3","20","9","3","2","1","0","15","57","26","23","38","40","4","10","28.57"
"757","Cutter Gauthier","ANA","L","72","1257.55","37","27","14","13","64","69.57","268","13.81","28.64","525","398","242","71","17","54","26","13","13","0","0","17","69","19","59","56","20","102","104","49.51"
"789","Juraj Slafkovský","MTL","L","73","1334","28","36","23","13","64","58.72","159","17.61","27.65","343","268","208","94","5","25","48","20","19","0","1","14","69","10","96","99","72","18","36","33.33"
"310","Travis Konecny","PHI","R","69","1329.2166666667","26","37","21","16","63","75.00","154","16.88","20.95","299","238","173","69","6","20","55","22","20","1","1","20","93","16","92","73","36","19","32","37.25"
"464","Drake Batherson","OTT","R","70","1226.6333333333","29","34","20","14","63","73.26","156","18.59","24.5","302","253","185","97","1","38","27","12","11","1","0","20","57","21","110","56","20","10","10","50.00"
"565","Jack Hughes","N.J","C","52","1097.7666666667","22","41","25","16","63","78.75","190","11.58","21.41","357","256","213","75","3","36","4","2","2","0","0","14","103","35","3","40","22","115","203","36.16"
"261","Adrian Kempe","L.A","R","72","1390.7166666667","27","35","23","12","62","71.26","193","13.99","22.01","450","299","197","64","12","37","56","27","27","0","0","15","58","22","118","46","36","51","92","35.66"
"427","Morgan Geekie","BOS","C","73","1271.6666666667","34","28","14","14","62","65.26","165","20.61","21.78","316","249","155","72","8","22","18","9","9","0","0","19","68","18","104","96","28","73","85","46.20"
"438","Gabriel Vilardi","WPG","C","73","1372.9666666667","28","34","18","16","62","63.92","137","20.44","26.6","270","218","208","120","2","34","22","10","10","0","0","28","55","14","18","70","33","41","55","42.71"
"495","Andrei Svechnikov","CAR","R","73","1244.3333333333","26","36","23","13","62","65.96","186","13.98","25.83","395","294","221","81","8","31","58","29","29","0","0","17","83","22","132","78","15","10","12","45.45"
"628","Seth Jarvis","CAR","C","65","1234.85","30","32","17","15","62","67.39","209","14.35","30.02","342","301","236","115","8","17","21","7","6","1","0","15","55","39","79","110","26","31","44","41.33"
"702","Dylan Guenther","UTA","R","72","1249.55","36","26","20","6","62","70.45","224","16.07","23.8","476","363","216","76","8","34","28","14","14","0","0","10","55","15","59","90","26","26","37","41.27"
"42","John Tavares","TOR","C","74","1333.5833333333","26","35","17","18","61","72.62","178","14.61","30.93","346","273","261","140","9","40","28","13","13","0","0","16","66","26","63","49","21","701","522","57.32"
"244","Sam Reinhart","FLA","C","64","1362.3333333333","29","32","20","12","61","71.76","166","17.47","32.28","368","277","246","121","5","34","10","5","5","0","0","7","52","15","59","82","40","56","91","38.10"
"249","Nikolaj Ehlers","CAR","L","73","1211.5","23","38","22","16","61","67.03","184","12.50","18.16","391","279","162","54","5","30","12","6","6","0","0","15","80","20","20","43","21","11","19","36.67"
"393","Jesper Bratt","N.J","L","73","1370.9333333333","19","42","25","17","61","70.11","158","12.03","19.3","313","235","181","74","10","28","12","6","6","0","0","13","77","24","66","51","24","3","7","30.00"
"516","Kirill Marchenko","CBJ","R","68","1283.35","25","36","19","17","61","70.11","196","12.76","21.81","397","297","206","55","6","41","32","16","16","0","0","16","80","39","53","89","38","4","4","50.00"
"829","Leo Carlsson","ANA","C","61","1169.0833333333","24","37","23","14","61","70.11","155","15.48","19.47","310","228","192","86","7","33","31","10","8","1","1","19","70","25","12","43","20","375","482","43.76"
"31","Erik Karlsson","PIT","D","68","1619.3666666667","13","47","22","25","60","52.17","161","8.07","10.37","430","267","128","15","3","40","22","11","11","0","0","10","91","33","19","73","58","0","0","-"
"446","Miro Heiskanen","DAL","D","72","1855.05","9","51","21","30","60","46.88","145","6.21","9.67","324","214","104","14","5","29","28","14","14","0","0","13","84","37","21","145","128","0","0","-"
"588","Pavel Dorofeyev","VGK","R","74","1301.7166666667","34","26","17","9","60","66.67","205","16.59","27.41","417","298","254","95","9","37","22","11","11","0","0","8","55","12","26","73","25","0","1","0.00"
"79","Brock Nelson","COL","C","72","1415.0333333333","33","26","12","14","59","61.46","172","19.19","28.52","306","245","234","115","9","46","30","15","15","0","0","19","57","20","35","79","52","658","639","50.73"
"95","Bryan Rust","PIT","R","66","1328.4333333333","26","33","18","15","59","56.73","175","14.86","28.64","337","285","231","110","4","40","20","10","10","0","0","12","71","13","31","64","66","2","12","14.29"
"254","Alex Tuch","BUF","R","71","1344.4666666667","29","30","16","14","59","64.84","176","16.48","21.64","342","290","175","88","6","24","53","21","19","1","1","16","54","34","75","39","80","29","39","42.65"
"297","Pavel Zacha","BOS","C","71","1208.5","28","31","15","16","59","60.82","122","22.95","21.54","216","191","172","89","6","20","28","13","13","0","0","6","54","17","58","27","25","459","424","51.98"
"554","Trevor Zegras","PHI","C","73","1377.5666666667","23","36","24","12","59","66.29","156","14.74","19.9","325","250","188","73","5","28","52","22","21","0","1","18","69","21","37","83","23","106","216","32.92"
"708","Matthew Knies","TOR","L","71","1338.5333333333","20","39","22","17","59","76.62","131","15.27","22.13","221","178","173","106","4","22","27","12","11","1","0","16","65","24","137","38","30","1","5","16.67"
"27","Steven Stamkos","NSH","C","74","1309.7","36","22","10","12","58","65.91","179","20.11","26.56","363","270","192","86","7","31","52","22","21","0","1","15","62","22","82","38","30","268","206","56.54"
"433","Nico Hischier","N.J","C","73","1513.7833333333","26","32","19","13","58","65.91","193","13.47","28.59","361","275","254","123","8","52","27","12","11","1","0","19","63","26","54","50","59","893","708","55.78"
"3","Alex Ovechkin","WSH","L","74","1295.9333333333","29","28","20","8","57","61.29","212","13.68","29.28","476","343","215","87","3","45","26","13","13","0","0","7","56","9","118","26","14","2","1","66.67"
"251","Dylan Larkin","DET","C","66","1340.7666666667","29","28","13","15","57","61.96","199","14.57","31.17","404","313","236","112","8","42","46","19","18","0","1","21","61","16","36","39","33","705","639","52.46"
"366","Charlie McAvoy","BOS","D","62","1512.3166666667","11","46","27","19","57","50.00","105","10.48","8.49","249","171","91","26","2","23","56","28","28","0","0","21","79","26","73","106","113","0","0","-"
"888","Ivan Demidov","MTL","R","73","1119.0666666667","16","41","24","17","57","58.76","107","14.95","12.95","236","171","119","42","3","18","26","13","13","0","0","12","60","20","27","66","24","0","0","-"
"76","Charlie Coyle","CBJ","C","74","1326.6333333333","18","38","26","12","56","69.14","127","14.17","21.62","221","183","148","88","2","33","14","7","7","0","0","19","45","31","93","40","48","559","548","50.50"
"867","Beckett Sennecke","ANA","R","73","1275.1333333333","22","34","20","14","56","71.79","174","12.64","25.63","342","274","206","111","2","38","50","25","25","0","0","27","82","22","87","102","22","2","2","50.00"
"891","Matthew Schaefer","NYI","D","74","1814.2","22","34","16","18","56","49.12","195","11.28","13.54","463","268","169","37","6","46","36","18","18","0","0","35","80","31","35","209","100","0","0","-"
"9","Brad Marchand","FLA","L","52","922.21666666667","27","27","14","13","54","72.97","138","19.57","20.18","277","216","152","82","8","36","38","19","19","0","0","24","56","15","36","43","16","1","7","12.50"
"33","John Carlson","ANA, WSH","D","62","1431.6","10","44","22","22","54","54.55","133","7.52","10.61","304","204","96","25","5","36","28","14","14","0","0","6","96","42","24","63","96","0","1","0.00"
"156","Tomas Hertl","VGK","C","74","1274.9333333333","24","30","16","14","54","57.45","187","12.83","33.84","368","290","284","179","3","47","39","13","11","1","1","18","47","16","104","68","38","674","487","58.05"
"233","Anthony Mantha","PIT","R","73","1106.1333333333","27","27","15","12","54","63.53","134","20.15","17.62","248","185","148","80","6","26","37","17","16","1","0","19","74","18","49","36","35","9","30","23.08"
"246","Sam Bennett","FLA","C","70","1293.3666666667","25","29","16","13","54","61.36","181","13.81","25.81","388","281","235","110","1","43","76","29","27","0","2","13","68","24","112","44","29","485","525","48.02"
"311","Dylan Strome","WSH","C","72","1311.5","17","37","22","15","54","53.47","134","12.69","17.91","234","187","144","74","3","33","40","15","14","0","1","11","64","16","10","28","47","715","498","58.94"
"833","Adam Fantilli","CBJ","C","74","1390.9833333333","21","33","17","16","54","63.53","194","10.82","25.32","404","290","223","87","5","45","34","14","12","2","0","18","87","24","125","67","46","498","506","49.60"
"216","Tyler Bertuzzi","CHI","L","71","1303.8833333333","29","24","13","11","53","63.86","151","19.21","27.27","272","229","208","129","5","33","38","11","9","0","2","18","65","16","48","68","22","47","59","44.34"
"363","Auston Matthews","TOR","C","60","1248.2333333333","27","26","15","11","53","62.35","227","11.89","29.72","402","330","281","118","8","40","18","9","9","0","0","13","51","30","42","27","81","580","392","59.67"
"371","Jakob Chychrun","WSH","D","72","1695.1666666667","23","30","12","18","53","50.00","208","11.06","17.05","492","334","180","37","2","42","57","26","25","1","0","15","96","36","54","94","103","0","0","-"
"394","Mikhail Sergachev","UTA","D","70","1702","10","43","14","29","53","51.96","139","7.19","7.2","328","188","97","16","6","22","38","19","19","0","0","14","97","28","36","88","118","0","0","-"
"558","Moritz Seider","DET","D","73","1876.9333333333","9","44","25","19","53","42.06","170","5.29","8.46","367","258","98","6","8","33","55","26","25","1","0","18","91","25","110","99","160","0","0","-"
"4","Evgeni Malkin","PIT","C","50","877.73333333333","15","37","22","15","52","68.42","128","11.72","16.25","206","168","132","60","8","21","57","23","21","1","1","16","82","26","22","48","16","109","136","44.49"
"120","Ryan Nugent-Hopkins","EDM","C","64","1221.4666666667","18","34","19","15","52","50.49","117","15.38","16.27","238","179","170","75","5","24","19","8","7","1","0","5","36","12","24","26","29","134","155","46.37"
"155","Tom Wilson","WSH","R","64","1253.2666666667","25","27","13","14","52","68.42","137","18.25","26.76","268","210","179","109","10","35","117","35","26","5","4","27","78","14","167","69","50","16","20","44.44"
"225","Bo Horvat","NYI","C","60","1245.7666666667","30","22","9","13","52","63.41","206","14.56","24.65","356","282","232","69","5","35","40","14","13","0","1","9","60","16","50","33","36","598","461","56.47"
"262","Ivan Barbashev","VGK","L","74","1200.9333333333","21","31","19","12","52","71.23","122","17.21","16.49","220","183","156","86","4","18","12","6","6","0","0","15","82","14","121","72","35","12","39","23.53"
"347","Troy Terry","ANA","R","52","950.15","17","35","21","14","52","66.67","124","13.71","16.49","251","193","146","69","9","25","12","6","6","0","0","8","41","22","0","43","15","4","5","44.44"
"552","Dylan Cozens","OTT","C","73","1243.2833333333","25","27","12","15","52","63.41","176","14.20","23.46","336","254","235","107","1","30","57","23","21","1","1","22","50","17","196","66","21","395","342","53.60"
"32","Jordan Eberle","SEA","R","70","1298.2666666667","23","28","17","11","51","60.00","152","15.13","27.82","281","235","178","107","9","26","24","11","11","0","0","10","49","20","48","72","40","11","17","39.29"
"485","Brady Tkachuk","OTT","L","53","904.5","20","31","22","9","51","71.83","200","10.00","28.16","335","275","208","101","6","32","57","19","16","1","2","22","36","14","140","29","15","148","112","56.92"
"589","Jackson LaCombe","ANA","D","73","1774.35","9","42","25","17","51","46.36","141","6.38","13.5","316","212","117","33","3","37","19","8","7","1","0","12","93","48","64","138","120","0","0","-"
"636","Alexis Lafrenière","NYR","L","74","1293.35","22","29","16","13","51","61.45","147","14.97","23.08","300","241","199","106","1","28","20","10","10","0","0","14","45","21","83","87","42","9","25","26.47"
"88","Zach Hyman","EDM","L","55","1106.5666666667","31","19","12","7","50","46.30","157","19.75","35.53","279","239","235","176","2","35","26","13","13","0","0","13","25","8","52","50","18","0","1","0.00"
"199","Carter Verhaeghe","FLA","C","71","1241.2833333333","21","29","16","13","50","61.73","169","12.43","20.44","354","253","197","75","3","45","32","12","11","0","1","10","60","25","62","89","20","31","55","36.05"
"228","Josh Morrissey","WPG","D","68","1683.5","12","38","22","16","50","46.30","125","9.60","7.74","289","192","85","10","5","29","26","13","13","0","0","9","86","16","32","91","107","0","0","-"
"486","Ryan McLeod","BUF","C","74","1303.6","12","38","25","13","50","55.56","84","14.29","12.62","168","131","84","39","8","10","12","6","6","0","0","7","86","36","16","74","30","562","628","47.23"
"643","Brock Faber","MIN","D","74","1828.85","15","35","18","17","50","47.17","165","9.09","7.94","337","238","98","21","1","27","37","13","11","1","1","8","83","34","29","123","140","0","0","-"
"651","Luke Evangelista","NSH","R","73","1227.4666666667","10","40","24","16","50","60.24","157","6.37","20.36","288","236","164","78","4","31","28","10","9","0","1","20","52","21","17","105","20","0","1","0.00"
"106","Vincent Trocheck","NYR","C","59","1223.2666666667","15","34","17","17","49","58.33","102","14.71","18.43","227","182","150","78","3","22","56","23","22","0","1","17","70","23","176","63","44","559","424","56.87"
"335","Anthony Cirelli","T.B","C","65","1124.1","20","29","15","14","49","60.49","116","17.24","22.58","207","174","158","99","2","31","46","16","13","2","1","15","45","24","47","54","40","478","501","48.83"
"847","Will Smith","S.J","C","58","1057.75","21","28","19","9","49","67.12","143","14.69","16.68","271","206","167","52","5","16","14","7","7","0","0","9","67","10","12","28","9","13","32","28.89"
"34","Roman Josi","NSH","D","62","1540.1","12","36","18","18","48","50.53","164","7.32","9.76","347","226","123","19","9","30","26","13","13","0","0","16","72","22","20","79","93","0","0","-"
"48","Nazem Kadri","CGY, COL","C","72","1389.9","14","34","19","15","48","65.75","200","7.00","25.43","413","299","241","101","4","35","28","12","12","0","0","28","71","20","50","84","26","445","502","46.99"
"439","Owen Tippett","PHI","R","73","1229.5","27","21","11","10","48","68.57","207","13.04","25.25","396","307","228","95","15","40","30","11","10","0","1","20","83","26","143","63","46","9","17","34.62"
"442","Robert Thomas","STL","C","54","1023.15","16","32","19","13","48","71.64","82","19.51","11.71","157","115","103","40","5","13","20","9","9","0","0","8","81","25","8","45","35","443","410","51.93"
"634","Jake Sanderson","OTT","D","62","1538.4","11","37","15","22","48","48.48","133","8.27","10.23","344","216","100","15","5","35","8","4","4","0","0","10","73","29","28","135","116","0","0","-"
"276","Viktor Arvidsson","BOS","L","62","902.78333333333","21","26","12","14","47","69.12","159","13.21","19.61","326","244","168","81","6","34","22","10","10","0","0","13","46","15","23","92","32","7","6","53.85"
"598","Aliaksei Protas","WSH","C, L","70","1282.7833333333","23","24","16","8","47","60.26","146","15.75","23.08","294","244","159","82","7","20","20","10","10","0","0","15","82","25","32","41","38","22","28","44.00"
"631","Jack Quinn","BUF","R","74","1151.8666666667","17","30","20","10","47","68.12","162","10.49","18.04","326","254","178","55","4","31","16","8","8","0","0","7","64","12","46","84","25","3","9","25.00"
"691","Josh Doan","BUF","R","74","1184.4666666667","23","24","17","7","47","57.32","158","14.56","27.78","289","233","188","125","12","29","23","10","9","1","0","19","58","43","73","96","29","4","12","25.00"
"21","Patrick Kane","DET","R","58","1019.8833333333","13","33","17","16","46","62.16","151","8.61","17.23","273","219","138","44","5","21","14","7","7","0","0","5","59","7","18","30","24","4","5","44.44"
"51","Chris Kreider","ANA","L","67","1142.3333333333","22","24","14","10","46","52.87","123","17.89","22.22","254","199","173","114","2","18","28","14","14","0","0","4","63","16","63","19","19","14","23","37.84"
"131","J.T. Miller","NYR","C","60","1225.7","15","31","15","16","46","66.67","129","11.63","22.03","252","211","171","104","7","23","24","11","11","0","0","7","71","13","117","35","26","480","299","61.62"
"229","Alexander Wennberg","S.J","C","70","1438.75","14","32","22","10","46","59.74","83","16.87","15.44","152","119","115","72","3","12","18","9","9","0","0","18","51","31","26","55","85","572","670","46.05"
"272","Brayden Point","T.B","C","55","1000.1333333333","17","29","17","12","46","52.87","112","15.18","19.87","218","167","163","83","4","32","12","6","6","0","0","10","34","11","7","35","20","263","303","46.47"
"506","Noah Dobson","MTL","D","73","1646.75","12","34","17","17","46","50.55","151","7.95","9.04","336","237","80","16","6","30","32","16","16","0","0","15","86","33","49","166","179","0","0","-"
"71","Mats Zuccarello","MIN","R","54","1009.8833333333","15","30","15","15","45","66.18","114","13.16","15.29","236","185","139","50","4","21","18","9","9","0","0","15","61","11","16","38","24","27","28","49.09"
"166","Shayne Gostisbehere","CAR","D","47","909.56666666667","12","33","14","19","45","62.50","103","11.65","7.2","250","175","60","6","4","18","16","4","3","0","1","8","47","19","21","40","54","0","0","-"
"221","Elias Lindholm","BOS","C","61","1090.8","16","29","11","18","45","58.44","105","15.24","19.35","236","176","150","82","8","27","36","14","13","0","1","6","47","14","35","28","54","578","455","55.95"
"329","Joel Eriksson Ek","MIN","C","65","1251.2666666667","18","27","13","14","45","48.39","181","9.94","28.37","320","263","187","113","5","35","26","13","13","0","0","18","39","18","98","66","30","648","670","49.17"
"437","Elias Pettersson","VAN","C","64","1213.7","15","30","18","12","45","65.22","113","13.27","18.48","254","191","154","59","2","32","20","10","10","0","0","21","61","29","56","62","99","556","626","47.04"
"693","Matty Beniers","SEA","C","72","1397.1666666667","19","26","16","10","45","53.57","135","14.07","22.26","285","226","192","88","7","18","23","9","8","1","0","17","70","16","30","113","64","450","480","48.39"
"732","Jackson Blake","CAR","R","73","1201.6666666667","21","24","16","8","45","66.18","158","13.29","24.72","308","244","224","112","6","38","38","19","19","0","0","21","77","27","13","104","29","0","10","0.00"
"12","Claude Giroux","OTT","R","73","1202.2","12","32","19","13","44","54.32","120","10.00","13.45","221","174","121","52","2","15","22","11","11","0","0","10","46","20","62","20","26","438","258","62.93"
