"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"627","Ridly Greig","OTT","C","68","1128.4","11","17","10","7","28","48.28","111","9.91","15.06","214","164","121","73","3","28","79","26","21","3","2","30","43","18","80","106","46","235","223","51.31"
"712","Zachary Bolduc","MTL","R","71","968.21666666667","11","17","9","8","28","58.33","98","11.22","15.68","220","170","144","59","4","28","24","12","12","0","0","17","60","17","153","98","40","19","18","51.35"
"142","Yanni Gourde","T.B","C","73","1197.9166666667","9","18","13","5","27","69.23","103","8.74","12.36","195","158","102","56","8","19","60","22","19","2","1","19","65","20","95","81","26","362","433","45.53"
"198","Anthony Duclair","NYI","L","60","795.46666666667","12","15","9","6","27","64.29","72","16.67","9.14","147","108","84","35","1","15","12","6","6","0","0","6","27","8","9","27","41","4","6","40.00"
"316","Parker Wotherspoon","PIT","D","73","1473.85","3","24","11","13","27","39.71","62","4.84","2.11","145","90","35","1","6","11","48","20","19","0","1","15","109","25","151","104","105","0","0","-"
"361","Matthew Tkachuk","FLA","L","26","481.73333333333","12","15","10","5","27","81.82","78","15.38","14.72","161","120","96","61","1","17","25","11","10","1","0","15","35","7","24","15","7","4","7","36.36"
"408","Michael Carcone","UTA","L","71","890.48333333333","14","13","8","5","27","62.79","135","10.37","15.23","286","211","117","55","7","30","20","6","5","0","1","11","44","14","132","95","16","11","14","44.00"
"461","Fabian Zetterlund","OTT","L","73","949.55","13","14","9","5","27","56.25","119","10.92","14.49","244","190","138","60","9","16","16","7","7","0","0","15","35","17","136","96","28","3","5","37.50"
"474","Charle-Edouard D'Astous","T.B","D","61","1149.7666666667","5","22","7","15","27","45.76","65","7.69","4.36","180","104","60","8","3","22","80","29","25","2","2","15","51","18","87","118","68","0","0","-"
"509","Rasmus Sandin","WSH","D","67","1284.3833333333","5","22","13","9","27","45.76","85","5.88","4.36","179","124","50","11","6","14","12","6","6","0","0","4","81","26","79","127","115","0","0","-"
"518","Connor Dewar","PIT","C","73","1010.9666666667","14","13","7","6","27","61.36","105","13.33","15.22","231","177","108","52","7","19","12","6","6","0","0","13","32","8","142","83","44","36","42","46.15"
"531","Yegor Sharangovich","CGY","C","69","1115.6666666667","14","13","8","5","27","58.70","132","10.61","16.42","279","203","138","63","6","28","10","5","5","0","0","8","51","18","19","54","28","33","61","35.11"
"584","Philip Broberg","STL","D","71","1665.2166666667","5","22","12","10","27","40.30","86","5.81","6.71","225","142","88","15","4","22","12","6","6","0","0","15","97","24","33","129","89","0","0","-"
"613","Drew O'Connor","VAN","L","72","1039.2666666667","17","10","9","1","27","67.50","118","14.41","18.3","238","184","140","93","5","30","38","15","14","0","1","10","58","18","67","73","23","52","52","50.00"
"690","J.J. Moser","T.B","D","71","1539.7166666667","7","20","6","14","27","30.00","103","6.80","6.3","226","157","72","17","3","16","65","20","15","3","2","25","74","22","56","147","87","0","0","-"
"782","Noah Ostlund","BUF","C","60","838.13333333333","11","16","9","7","27","60.00","60","18.33","7.01","131","92","64","31","1","13","14","7","7","0","0","8","35","17","5","57","30","86","187","31.50"
"850","Matthew Wood","NSH","R","63","770.38333333333","16","11","8","3","27","55.10","91","17.58","11.57","168","132","103","43","0","18","10","5","5","0","0","10","37","7","46","52","23","61","88","40.94"
"863","Emmitt Finnie","DET","C","73","1124.6","12","15","8","7","27","54.00","114","10.53","17.24","193","162","137","85","1","21","6","3","3","0","0","22","67","21","110","80","39","42","49","46.15"
"84","Cam Fowler","STL","D","72","1532.2833333333","2","24","15","9","26","36.62","85","2.35","3.61","214","116","61","4","2","23","14","7","7","0","0","4","59","16","9","69","64","0","0","-"
"220","Seth Jones","FLA","D","47","1103.3166666667","6","20","8","12","26","42.62","83","7.23","5.79","218","142","64","7","1","26","18","7","7","0","0","7","59","10","43","72","51","0","0","-"
"230","Ryan Pulock","NYI","D","69","1448.0666666667","3","23","11","12","26","41.94","85","3.53","3.34","202","132","40","3","6","17","12","6","6","0","0","2","73","24","47","95","131","0","0","-"
"243","Aaron Ekblad","FLA","D","71","1597.5833333333","4","22","13","9","26","33.33","96","4.17","5.5","237","152","65","10","2","20","55","26","25","1","0","13","68","20","84","52","103","0","1","0.00"
"322","Anthony Beauvillier","WSH","L, R","74","1162.9666666667","14","12","6","6","26","46.43","146","9.59","19.79","261","216","175","95","4","25","28","14","14","0","0","11","38","17","87","87","44","40","33","54.79"
"413","Mathieu Olivier","CBJ","R","61","867.93333333333","15","11","6","5","26","57.78","94","15.96","14.94","185","152","118","66","2","15","101","22","8","11","3","18","23","12","209","45","42","2","9","18.18"
"457","Alex Iafallo","WPG","L","73","1124.35","12","14","6","8","26","53.06","99","12.12","17.16","184","152","126","76","5","22","14","7","7","0","0","6","26","11","110","36","52","16","20","44.44"
"460","Eetu Luostarinen","FLA","C","64","1064.8833333333","9","17","11","6","26","57.78","94","9.57","15.13","175","140","122","72","7","15","26","13","13","0","0","24","38","20","114","95","47","55","71","43.65"
"559","Cam York","PHI","D","66","1496.6666666667","4","22","11","11","26","35.14","85","4.71","6.53","185","127","79","23","5","15","28","14","14","0","0","6","57","16","15","102","127","0","0","-"
"590","Jordan Spence","OTT","D","64","1158.75","5","21","7","14","26","46.43","90","5.56","5.24","234","156","74","14","1","25","12","6","6","0","0","0","55","14","48","117","51","0","0","-"
"672","Artem Zub","OTT","D","72","1479.15","4","22","10","12","26","42.62","80","5.00","3.33","199","135","51","7","3","28","51","24","23","1","0","7","71","23","62","94","105","0","0","-"
"696","Owen Power","BUF","D","73","1589.35","8","18","6","12","26","33.77","109","7.34","5.81","228","157","72","14","3","17","14","7","7","0","0","6","72","20","29","118","84","0","0","-"
"760","Ryan Greene","CHI","C","73","1228.9","9","17","12","5","26","48.15","98","9.18","13.72","179","139","124","59","1","22","14","7","7","0","0","13","44","19","42","44","36","320","421","43.18"
"779","Simon Nemec","N.J","D","59","1153.6166666667","11","15","9","6","26","41.27","89","12.36","5.81","236","140","65","11","1","15","24","12","12","0","0","7","71","23","19","70","85","0","0","-"
"791","Shane Wright","SEA","C","72","994.45","11","15","10","5","26","55.32","96","11.46","14.9","186","155","128","65","1","26","10","5","5","0","0","5","65","12","50","81","57","208","315","39.77"
"820","Braeden Bowman","VGK","R","54","763.08333333333","8","18","9","9","26","63.41","75","10.67","14.5","149","120","118","76","3","23","12","6","6","0","0","4","22","16","19","53","24","3","9","25.00"
"879","Justin Hryckowian","DAL","C","73","950.5","12","14","8","6","26","68.42","73","16.44","13.34","132","115","89","65","3","20","43","17","14","3","0","17","24","23","111","91","36","154","123","55.60"
"14","Jonathan Toews","WPG","C","73","1061.2833333333","9","16","11","5","25","65.79","97","9.28","14.5","163","137","113","67","2","29","34","17","17","0","0","8","58","19","15","59","31","556","347","61.57"
"20","David Perron","DET, OTT","L","56","751.16666666667","10","15","6","9","25","69.44","77","12.99","10.67","141","109","84","34","0","15","36","14","13","0","1","12","31","11","75","46","18","3","7","30.00"
"122","Jonathan Huberdeau","CGY","L","50","906.56666666667","10","15","9","6","25","58.14","84","11.90","12.81","165","129","104","61","4","17","41","15","13","1","1","14","58","9","30","33","30","8","10","44.44"
"280","Gustav Forsling","FLA","D","72","1623.6666666667","2","23","11","12","25","33.33","97","2.06","4.08","240","143","48","5","2","29","47","18","16","1","1","7","53","25","49","54","84","0","0","-"
"451","Josh Norris","BUF","C","36","574.05","10","15","9","6","25","52.08","54","18.52","9.64","110","84","77","36","1","9","10","5","5","0","0","7","17","7","16","45","19","239","240","49.90"
"503","Barrett Hayton","UTA","C","67","1013.2333333333","10","15","7","8","25","47.17","118","8.47","20.95","207","170","141","82","2","25","54","22","21","0","1","16","40","13","34","58","29","409","368","52.64"
"504","Jack McBain","UTA","C","74","1029.5","9","16","10","6","25","50.00","106","8.49","19.09","212","166","136","91","2","29","84","29","22","6","1","19","49","8","269","91","42","325","310","51.18"
"683","Mason Lohrei","BOS","D","68","1146.2166666667","7","18","10","8","25","48.08","67","10.45","5.19","190","118","51","9","3","15","20","10","10","0","0","5","86","18","30","113","86","0","0","-"
"792","Danila Yurov","MIN","R","65","857.26666666667","10","15","5","10","25","59.52","71","14.08","11.15","152","117","100","59","0","14","24","12","12","0","0","13","41","13","51","71","38","257","397","39.30"
"818","Andrei Kuzmenko","L.A","L","52","775.61666666667","13","12","3","9","25","58.14","69","18.84","10.17","173","120","115","51","3","20","16","8","8","0","0","16","49","10","18","44","14","0","0","-"
"98","John Klingberg","S.J","D","54","1107.4166666667","10","14","3","11","24","36.92","79","12.66","4.94","222","136","69","8","2","17","24","12","12","0","0","7","72","13","46","77","61","0","0","-"
"144","Hampus Lindholm","BOS","D","60","1306.8166666667","4","20","11","9","24","42.11","92","4.35","4.81","224","134","76","11","5","19","56","26","26","0","0","9","71","23","9","121","97","0","0","-"
"169","Jordan Martinook","CAR","L","70","1032.2833333333","10","14","7","7","24","52.17","101","9.90","14.24","226","173","126","62","9","26","33","15","14","1","0","16","39","14","108","86","43","30","37","44.78"
"173","Jake McCabe","TOR","D","72","1616.1333333333","5","19","9","10","24","30.00","70","7.14","3.31","156","104","46","8","6","13","48","21","19","2","0","8","82","23","96","118","174","0","0","-"
"190","MacKenzie Weegar","CGY, UTA","D","72","1638.5833333333","4","20","10","10","24","38.71","144","2.78","6.03","369","216","75","5","5","32","78","24","19","2","3","6","115","29","153","149","162","0","0","-"
"212","J.T. Compher","DET","L","73","1139.3","10","14","9","5","24","55.81","85","11.76","10.81","159","122","100","51","2","15","25","11","10","1","0","21","36","10","21","72","47","468","442","51.43"
"305","A.J. Greer","FLA","L","69","828.45","13","11","6","5","24","61.54","88","14.77","13","172","142","115","55","2","20","109","36","27","7","2","28","42","9","183","77","25","4","17","19.05"
"401","Ross Colton","COL","C","63","800.7","9","15","10","5","24","54.55","140","6.43","17.28","261","211","140","61","6","26","13","5","4","1","0","14","49","17","143","60","24","48","51","48.48"
"414","Trevor Moore","L.A","L","60","986.55","10","14","8","6","24","64.86","132","7.58","13.59","258","204","112","57","11","22","8","4","4","0","0","5","45","23","51","69","31","3","14","17.65"
"472","Sean Walker","CAR","D","73","1596.4","7","17","8","9","24","33.80","157","4.46","9.59","407","234","127","18","9","38","57","27","26","1","0","15","87","30","124","164","117","0","0","-"
"475","Sean Durzi","UTA","D","53","1044.2833333333","5","19","9","10","24","57.14","70","7.14","4.43","204","114","52","14","1","19","46","14","12","0","2","8","54","10","36","90","83","0","0","-"
"477","Pius Suter","STL","C","55","887.63333333333","12","12","5","7","24","61.54","87","13.79","15.22","163","130","109","74","1","20","18","9","9","0","0","6","30","11","34","20","21","225","246","47.77"
"619","Connor Zary","CGY","C","67","972.45","11","13","5","8","24","60.00","99","11.11","14.17","179","141","119","62","3","17","18","9","9","0","0","19","42","14","44","55","16","70","85","45.16"
"706","Mackie Samoskevich","FLA","R","68","975.06666666667","7","17","13","4","24","58.54","141","4.96","19.6","296","225","172","84","9","30","26","13","13","0","0","26","44","9","125","88","29","3","3","50.00"
"800","Ethen Frank","WSH","C, R","60","739.38333333333","12","12","7","5","24","57.14","90","13.33","13.41","164","126","120","74","2","19","18","9","9","0","0","9","29","8","50","55","43","1","5","16.67"
"845","Calum Ritchie","NYI","C","57","744.03333333333","11","13","11","2","24","77.42","68","16.18","9","117","95","73","40","2","11","20","10","10","0","0","7","49","8","14","50","30","112","195","36.48"
"870","Artyom Levshunov","CHI","D","68","1332.3333333333","2","22","6","16","24","41.38","84","2.38","4.57","220","129","73","11","1","12","44","21","21","0","0","8","88","16","98","123","73","0","0","-"
"147","Brady Skjei","NSH","D","74","1667.05","2","21","12","9","23","29.49","102","1.96","6.02","249","155","81","10","2","20","26","12","12","0","0","7","102","26","65","96","72","0","0","-"
"293","Noah Hanifin","VGK","D","63","1429.5333333333","3","20","8","12","23","37.10","120","2.50","5.92","274","176","72","13","2","25","12","6","6","0","0","1","93","35","33","112","107","0","0","-"
"321","Nicolas Roy","COL, TOR","C","68","986.15","8","15","10","5","23","51.11","72","11.11","12.16","147","110","109","61","3","15","23","10","9","1","0","10","58","21","67","51","35","353","323","52.22"
"348","Adam Gaudette","S.J","R","58","677.05","15","8","3","5","23","74.19","85","17.65","11.38","162","123","95","53","1","18","18","9","9","0","0","5","20","11","46","53","28","118","122","49.17"
"382","Logan Stanley","BUF, WPG","D","69","1163.45","9","14","5","9","23","46.94","85","10.59","4.24","240","154","61","7","0","22","121","42","33","7","2","20","58","16","106","124","79","0","0","-"
"470","Morgan Barron","WPG","C","63","804.93333333333","11","12","6","6","23","79.31","91","12.09","10.69","164","137","97","54","4","20","31","14","13","1","0","14","32","16","129","66","39","264","307","46.23"
"498","Jack Drury","COL","C","72","1058.0833333333","9","14","9","5","23","56.10","85","10.59","13.02","173","131","107","53","8","15","29","13","12","1","0","11","36","20","43","113","53","511","354","59.08"
"874","Zeev Buium","MIN, VAN","D","66","1276.1333333333","5","18","10","8","23","41.07","63","7.94","3.99","182","97","68","8","2","17","35","12","10","1","1","12","74","10","22","94","45","0","0","-"
"97","Brendan Gallagher","MTL","R","72","901.13333333333","6","16","5","11","22","51.16","112","5.36","15.77","219","165","113","68","8","21","37","17","16","1","0","17","36","10","91","59","20","6","4","60.00"
"109","Nick Cousins","OTT","C","72","811.03333333333","9","13","6","7","22","68.75","69","13.04","8.27","119","94","71","37","2","14","78","28","24","2","2","22","42","17","153","109","35","11","14","44.00"
"178","Josh Anderson","MTL","R","64","899.33333333333","13","9","5","4","22","64.71","80","16.25","15.03","154","122","98","51","11","18","54","24","22","2","0","19","40","8","119","31","39","23","9","71.88"
"219","Jonathan Drouin","NYI, STL","L","59","1004.9833333333","4","18","11","7","22","53.66","77","5.19","12.48","151","126","92","43","6","7","19","4","2","1","1","8","39","13","16","28","27","111","114","49.33"
"241","Frederic Gaudreau","SEA","C","58","943.18333333333","5","17","11","6","22","61.11","60","8.33","8.68","138","101","63","32","4","14","11","4","3","1","0","8","33","21","30","33","49","242","323","42.83"
"285","Jake Evans","MTL","C","59","910.43333333333","11","11","4","7","22","81.48","68","16.18","12.48","141","104","79","42","8","11","24","8","7","0","1","10","45","14","80","73","41","415","328","55.85"
"342","Alexandre Carrier","MTL","D","73","1393.05","7","15","8","7","22","35.48","56","12.50","3.21","141","93","29","9","5","10","34","16","16","0","0","9","50","28","35","177","155","0","0","-"
"429","Cody Glass","N.J","C","61","833.5","15","7","5","2","22","57.89","93","16.13","11.8","154","126","108","54","3","19","27","12","11","1","0","14","29","7","39","60","37","438","367","54.41"
"481","Martin Fehérváry","WSH","D","73","1408.2333333333","4","18","7","11","22","35.48","68","5.88","4.34","159","99","56","12","2","16","25","11","10","1","0","7","49","14","103","107","160","0","0","-"
"520","Pontus Holmberg","T.B","R","66","889.93333333333","11","11","6","5","22","64.71","85","12.94","13.26","188","144","123","56","2","22","27","12","11","1","0","24","44","11","64","76","30","19","33","36.54"
"594","Alex Newhook","MTL","C","33","473.76666666667","11","11","7","4","22","62.86","46","23.91","5.52","82","66","54","23","1","6","8","4","4","0","0","7","11","2","40","30","14","84","110","43.30"
"720","Simon Edvinsson","DET","D","63","1414.3333333333","9","13","7","6","22","33.85","79","11.39","6.65","187","124","53","20","5","12","73","30","28","1","1","15","76","23","83","144","130","0","0","-"
"808","Noah Laba","NYR","C","66","889.3","9","13","5","8","22","73.33","65","13.85","12.19","129","106","96","44","2","15","22","11","11","0","0","10","30","9","98","54","42","294","286","50.69"
"830","Easton Cowan","TOR","R","58","817.26666666667","9","13","8","5","22","62.86","82","10.98","8.78","159","124","85","34","2","13","39","14","12","1","1","14","66","10","63","56","30","2","4","33.33"
"17","Ian Cole","UTA","D","74","1352.5","3","18","9","9","21","35.00","57","5.26","4.12","161","104","45","5","4","12","46","20","18","2","0","11","84","12","69","131","139","0","0","-"
"26","Drew Doughty","L.A","D","63","1447.0666666667","5","16","6","10","21","33.87","90","5.56","6.37","226","139","46","7","7","22","36","18","18","0","0","4","72","18","40","80","67","0","0","-"
"53","Reilly Smith","VGK","R","64","878.88333333333","12","9","5","4","21","75.00","79","15.19","8.86","145","117","91","32","2","14","4","2","2","0","0","8","59","10","25","54","12","17","36","32.08"
"86","Jaden Schwartz","SEA","L","42","682","10","11","8","3","21","61.76","74","13.51","11.32","138","107","81","47","3","15","8","4","4","0","0","1","43","20","31","36","38","31","22","58.49"
"123","Adam Larsson","SEA","D","72","1547.2","5","16","8","8","21","36.21","82","6.10","2.67","179","116","45","2","2","20","38","19","19","0","0","2","46","14","98","78","150","0","0","-"
"132","Joel Armia","L.A","R","58","820.25","10","11","9","2","21","72.41","73","13.70","9.73","155","109","75","34","1","10","26","13","13","0","0","5","44","28","65","37","33","28","49","36.36"
"223","Darnell Nurse","EDM","D","74","1543.3166666667","7","14","8","6","21","36.21","145","4.83","6.13","319","214","71","11","10","28","104","29","21","4","4","18","81","17","122","85","154","0","0","-"
"334","Yakov Trenin","MIN","C","74","976.9","6","15","10","5","21","48.84","86","6.98","13.4","169","143","112","65","1","21","33","15","14","1","0","9","57","23","370","89","35","45","67","40.18"
"412","Tanner Jeannot","BOS","L","70","890.58333333333","6","15","8","7","21","75.00","75","8.00","11.84","168","116","104","57","5","16","66","21","13","8","0","18","39","5","217","78","52","8","10","44.44"
"692","Kent Johnson","CBJ","C","69","931.41666666667","7","14","7","7","21","43.75","107","6.54","11.51","221","157","119","44","6","15","16","8","8","0","0","5","44","10","14","41","37","0","1","0.00"
"797","Nick Blankenburg","COL, NSH","D","52","907.63333333333","6","15","9","6","21","53.85","59","10.17","5.2","167","102","55","15","2","23","10","4","4","0","0","8","53","15","49","100","53","0","2","0.00"
"843","Gabe Perreault","NYR","R","41","657.65","7","14","10","4","21","60.00","55","12.73","8.9","107","80","88","50","1","15","8","4","4","0","0","3","31","9","21","26","19","4","4","50.00"
"108","Adam Lowry","WPG","C","61","911.11666666667","5","15","9","6","20","60.61","64","7.81","11.41","143","114","96","54","4","17","21","6","3","3","0","9","33","15","129","44","40","439","375","53.93"
"188","Nate Schmidt","UTA","D","74","1471.0833333333","5","15","7","8","20","25.64","81","6.17","4.41","213","133","58","13","6","11","20","10","10","0","0","9","67","14","76","68","91","0","0","-"
"231","Nikita Zadorov","BOS","D","73","1531.3666666667","2","18","9","9","20","29.41","97","2.06","5.76","233","144","60","4","11","17","146","48","38","6","4","26","82","33","178","107","98","0","0","-"
"338","Noel Acciari","PIT","C","59","803.38333333333","10","10","7","3","20","57.14","82","12.20","12.18","145","115","102","52","4","17","23","6","4","1","1","6","18","9","62","57","54","265","253","51.16"
"425","Mario Ferraro","S.J","D","71","1489.5333333333","6","14","7","7","20","33.90","82","7.32","3.77","180","117","43","8","6","19","33","15","14","1","0","9","76","27","117","106","130","0","0","-"
"454","Alexandre Texier","MTL, STL","L","46","630.95","8","12","6","6","20","71.43","69","11.59","7.05","138","101","69","35","3","8","10","5","5","0","0","7","20","6","55","23","15","3","13","18.75"
"483","Philipp Kurashev","S.J","C","42","651.35","7","13","10","3","20","58.82","61","11.48","5.38","112","80","70","28","3","13","16","8","8","0","0","8","31","8","39","27","12","34","45","43.04"
"571","Alex Vlasic","CHI","D","73","1549.8333333333","2","18","11","7","20","40.82","76","2.63","2.89","191","118","47","6","3","24","17","7","6","1","0","9","86","23","28","151","109","0","0","-"
"729","Olen Zellweger","ANA","D","71","1225.9666666667","7","13","7","6","20","32.26","117","5.98","8.68","291","186","97","20","1","33","34","17","17","0","0","15","62","18","31","150","78","0","0","-"
"776","Pavel Mintyukov","ANA","D","67","1235.5666666667","8","12","4","8","20","37.74","72","11.11","6.12","185","124","72","18","2","21","10","5","5","0","0","13","62","15","35","67","106","0","0","-"
"38","Jared Spurgeon","MIN","D","73","1444.05","6","13","7","6","19","33.93","84","7.14","5.28","191","120","60","18","5","17","14","6","6","0","0","6","54","14","79","100","129","0","0","-"
"94","Nino Niederreiter","WPG","R","55","764.85","8","11","6","5","19","73.08","76","10.53","13.32","134","107","91","57","2","15","14","7","7","0","0","8","38","7","66","41","20","3","3","50.00"
"103","Dylan DeMelo","WPG","D","73","1564.5833333333","3","16","4","12","19","27.54","69","4.35","2.58","179","118","33","4","2","13","36","18","18","0","0","11","66","20","101","124","100","0","0","-"
"117","Joel Edmundson","L.A","D","73","1349.65","2","17","5","12","19","35.19","87","2.30","4.82","219","141","47","7","4","16","23","10","9","1","0","9","78","9","87","71","96","0","0","-"
"273","Jake Walman","EDM","D","45","858.83333333333","8","11","6","5","19","43.18","83","9.64","3.8","176","110","39","6","1","15","10","5","5","0","0","4","53","13","12","19","80","0","0","-"
"275","Devon Toews","COL","D","59","1300.65","2","17","6","11","19","26.03","99","2.02","6.67","209","145","72","24","3","20","30","15","15","0","0","7","56","23","24","41","70","0","0","-"
"387","Taylor Raddysh","NYR","R","67","796.38333333333","9","10","7","3","19","65.52","51","17.65","8.41","104","86","65","37","3","7","12","6","6","0","0","3","25","14","47","32","40","3","12","20.00"
"522","Jonatan Berggren","DET, STL","R","43","585.1","7","12","6","6","19","73.08","49","14.29","5.1","107","75","56","19","1","10","8","4","4","0","0","10","35","7","34","44","11","1","2","33.33"
"543","Blake Lizotte","PIT","C","55","763.1","7","12","6","6","19","65.52","49","14.29","7.06","106","79","65","31","2","10","25","10","9","1","0","11","32","12","49","94","35","238","238","50.00"
"611","Louis Crevier","CHI","D","70","1180.9166666667","5","14","7","7","19","39.58","107","4.67","5.45","226","163","62","10","4","24","59","24","22","1","1","4","54","13","113","134","81","0","0","-"
"841","Oliver Moore","CHI","C","51","658.2","5","14","6","8","19","76.00","57","8.77","6.81","111","93","60","26","2","14","19","8","7","1","0","9","41","15","25","68","13","99","106","48.29"
"846","Axel Sandin-Pellikka","DET","D","63","1027.8833333333","6","13","6","7","19","47.50","62","9.68","3.48","188","109","44","3","2","19","16","8","8","0","0","5","54","8","16","132","51","0","0","-"
"40","Kyle Palmieri","NYI","C","25","471.91666666667","6","12","5","7","18","75.00","71","8.45","11.3","126","100","81","43","1","15","8","4","4","0","0","4","18","8","19","18","9","2","2","50.00"
"65","Nic Dowd","VGK, WSH","C","67","993.86666666667","5","13","3","10","18","78.26","59","8.47","8.41","118","94","79","39","4","12","67","28","26","1","1","20","41","17","128","85","47","433","459","48.54"
"124","Ryan Strome","ANA, CGY","C","45","595.55","6","12","6","6","18","58.06","51","11.76","7.75","111","83","68","39","0","15","27","11","10","1","0","9","35","8","19","27","11","143","186","43.47"
"339","Kevin Stenlund","UTA","C","72","1047.3166666667","4","14","8","6","18","62.07","61","6.56","8.91","151","106","80","27","7","11","24","12","12","0","0","7","44","12","39","69","54","551","458","54.61"
"373","Brett Howden","VGK","C","50","733.9","9","9","4","5","18","62.07","54","16.67","7.5","99","86","70","39","2","2","37","17","16","1","0","18","42","11","89","62","16","223","226","49.67"
"407","Michael Eyssimont","BOS","C","52","564","8","10","5","5","18","75.00","100","8.00","9.95","178","141","88","45","7","17","31","14","13","1","0","16","35","3","51","48","17","3","3","50.00"
"421","Kailer Yamamoto","UTA","R","51","595.06666666667","10","8","6","2","18","62.07","44","22.73","6.69","73","59","56","31","1","3","12","6","6","0","0","10","17","13","36","45","16","20","25","44.44"
"473","Mark Kastelic","BOS","C","74","941.18333333333","9","9","6","3","18","62.07","90","10.00","13.83","191","148","102","59","10","21","138","38","24","10","4","31","37","26","202","72","61","306","208","59.53"
"480","Eric Robinson","CAR","L","59","663.01666666667","12","6","5","1","18","60.00","75","16.00","10.79","162","127","103","55","4","17","6","3","3","0","0","7","23","9","79","54","11","1","12","7.69"
"630","Tyler Kleven","OTT","D","68","1189.9666666667","3","15","13","2","18","41.86","87","3.45","3.77","191","130","43","4","4","19","51","17","13","3","1","10","80","28","124","149","95","0","0","-"
"718","Ryan Winterton","SEA","C","62","731","4","14","11","3","18","64.29","74","5.41","9.2","137","104","77","32","8","12","15","6","5","1","0","15","33","18","59","76","28","0","5","0.00"
"832","Dalibor Dvorsky","STL","R","61","880.26666666667","11","7","2","5","18","45.00","79","13.92","9.09","157","123","79","36","1","16","20","10","10","0","0","4","38","8","74","28","20","291","331","46.78"
"849","Tom Willander","VAN","D","60","986.63333333333","4","14","4","10","18","45.00","50","8.00","2.57","132","88","35","2","0","11","28","10","9","0","1","7","51","9","21","77","63","0","0","-"
"43","Victor Hedman","T.B","D","33","622.61666666667","1","16","9","7","17","51.52","50","2.00","2.91","135","87","29","1","1","10","10","5","5","0","0","7","40","8","19","33","44","0","0","-"
"58","Casey Cizikas","NYI","C","73","851.13333333333","9","8","8","0","17","68.00","65","13.85","11.36","133","110","83","50","4","15","18","9","9","0","0","4","45","10","140","64","52","322","268","54.58"
"64","Nick Jensen","OTT","D","61","1037.5333333333","4","13","5","8","17","31.48","36","11.11","2.02","121","72","30","5","2","14","22","7","6","0","1","3","51","11","38","115","65","0","0","-"
"91","Tyler Seguin","DAL","C","27","449.86666666667","7","10","7","3","17","58.62","31","22.58","5.15","69","56","46","19","1","3","2","1","1","0","0","3","21","3","18","9","6","126","109","53.62"
"105","Sean Kuraly","BOS","C","74","987.66666666667","5","12","7","5","17","60.71","98","5.10","9.72","178","143","83","37","10","24","41","11","8","1","2","7","53","17","80","43","43","317","303","51.13"
"149","Scott Laughton","L.A, TOR","C","55","780.95","11","6","5","1","17","70.83","79","13.92","9.39","149","129","73","38","6","12","27","12","11","1","0","14","49","13","104","25","36","362","275","56.83"
"150","Mark Jankowski","CAR","L","60","657.98333333333","8","9","5","4","17","62.96","55","14.55","10.79","121","94","98","54","3","15","16","7","7","0","0","3","32","10","41","54","39","331","284","53.82"
"160","Radek Faksa","DAL","C","56","654.61666666667","2","15","9","6","17","100.00","33","6.06","5.25","74","55","40","26","1","7","16","7","7","0","0","8","18","14","75","58","42","225","192","53.96"
"281","Dakota Joshua","TOR","C","51","625.7","10","7","5","2","17","62.96","49","20.41","8.36","85","73","60","39","1","9","43","13","9","3","1","14","20","8","183","35","32","4","19","17.39"
"308","Keegan Kolesar","VGK","R","74","853.31666666667","6","11","9","2","17","70.83","62","9.68","6.91","125","96","67","39","2","10","53","15","9","5","1","11","34","5","253","92","36","10","15","40.00"
"352","Matt Roy","WSH","D","71","1473.2","2","15","10","5","17","28.81","88","2.27","4.7","201","136","49","10","5","23","12","6","6","0","0","11","62","11","108","136","129","0","0","-"
"430","Mikey Anderson","L.A","D","71","1448.35","4","13","9","4","17","34.00","56","7.14","3.71","157","95","48","12","3","10","16","7","7","0","0","11","48","13","96","124","117","0","0","-"
"505","Kevin Bahl","CGY","D","72","1596.9833333333","4","13","4","9","17","26.15","57","7.02","2.59","144","84","37","7","3","19","45","21","20","1","0","12","86","41","110","74","95","0","0","-"
"610","Tye Kartye","NYR, SEA","L","56","658.85","6","11","7","4","17","68.00","48","12.50","5.1","114","81","56","23","1","11","27","8","6","1","1","10","25","14","154","64","32","3","9","25.00"
"766","Marco Kasper","DET","C","72","1008.2333333333","8","9","8","1","17","54.84","115","6.96","16.54","214","182","131","69","6","22","33","11","9","1","1","12","48","10","170","93","46","197","197","50.00"
"55","Brian Dumoulin","L.A","D","73","1305.5666666667","2","14","7","7","16","40.00","60","3.33","2.58","160","98","38","5","6","15","16","8","8","0","0","6","83","19","30","123","80","0","0","-"
"96","Sam Carrick","BUF, NYR","C","72","757.55","9","7","5","2","16","61.54","74","12.16","8.54","143","117","72","45","6","17","60","18","10","8","0","17","29","13","105","68","35","292","239","54.99"
