"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"21","Detroit Red Wings","82","4973.95","39","35","8","36","86","0.524","4680","4969","48.50","3405","3561","48.88","2250","2337","49.05","235","259","47.57","252.43","252.16","50.03","2204","2290","49.04","869","946","47.88","105","121","46.46","18.78","79.25","10.44","88.92","0.994"
"22","New York Islanders","82","4978.0333","35","35","12","33","82","0.500","5033","5047","49.93","3649","3588","50.42","2420","2357","50.66","222","257","46.35","253.3","248.65","50.46","2347","2317","50.32","975","961","50.36","110","112","49.55","17.92","81.61","9.17","89.10","0.983"
"23","Dallas Stars","82","4960.9667","50","26","6","48","106","0.646","4921","4851","50.36","3468","3589","49.14","2325","2382","49.39","275","222","55.33","270.41","253.54","51.61","2434","2298","51.44","1042","961","52.02","152","125","54.87","22.16","78.67","11.83","90.68","1.025"
"24","Nashville Predators","82","4955.05","30","44","8","28","68","0.415","5004","4674","51.70","3563","3420","51.02","2403","2344","50.62","212","274","43.62","259.9","241.19","51.87","2348","2262","50.93","958","925","50.88","103","109","48.58","17.64","81.74","8.82","88.31","0.971"
"25","Columbus Blue Jackets","82","4980.25","40","33","9","34","89","0.543","4869","5163","48.53","3493","3690","48.63","2382","2453","49.27","267","267","50.00","246.65","260.66","48.62","2172","2440","47.09","935","1033","47.51","133","124","51.75","21.18","81.84","11.21","89.12","1.003"
"26","Minnesota Wild","82","4976.4","45","30","7","42","97","0.591","4648","5101","47.68","3373","3646","48.06","2264","2427","48.26","225","236","48.81","228.66","230.05","49.85","2099","2215","48.66","871","841","50.88","93","101","47.94","17.22","81.57","9.94","90.28","1.002"
"27","San Jose Sharks","82","4973.25","20","50","12","18","52","0.317","4628","5471","45.83","3292","3911","45.70","2203","2607","45.80","208","310","40.15","215.91","289.57","42.71","2128","2636","44.67","828","1034","44.47","82","125","39.61","16.40","81.15","9.44","88.11","0.976"
"28","Tampa Bay Lightning","82","4965.9167","47","27","8","45","102","0.622","4910","4693","51.13","3527","3395","50.95","2343","2312","50.33","292","216","57.48","262.51","237.5","52.50","2382","2157","52.48","1010","853","54.21","148","90","62.18","21.76","84.18","12.46","90.66","1.031"
"29","Carolina Hurricanes","82","4950.3333","47","30","5","47","99","0.604","5760","4082","58.52","4126","3048","57.51","2599","2046","55.95","266","230","53.63","288.09","236.95","54.87","2673","2050","56.60","1051","935","52.92","132","108","55.00","20.40","82.78","10.23","88.76","0.990"
"30","Philadelphia Flyers","82","4995.25","33","39","10","27","76","0.463","4580","4938","48.12","3334","3354","49.85","2212","2210","50.02","232","283","45.05","235.27","228.81","50.70","2179","2319","48.44","916","837","52.25","117","127","47.95","19.24","76.57","10.49","87.19","0.977"
"31","Washington Capitals","82","4975.5667","51","22","9","49","111","0.677","4884","4909","49.87","3536","3451","50.61","2268","2231","50.41","286","229","55.53","264.15","247.71","51.61","2341","2230","51.21","976","901","52.00","137","126","52.09","22.50","78.13","12.61","89.74","1.023"
"32","Anaheim Ducks","82","4989.2667","35","37","10","31","80","0.488","4754","5549","46.14","3452","4040","46.08","2270","2649","46.15","217","261","45.40","237.6","287.68","45.23","2164","2664","44.82","861","1096","44.00","107","144","42.63","19.38","79.55","9.56","90.15","0.997"
