"","Player","Team","GP","TOI","Shots Against","Saves","Goals Against","SV%","GAA","GSAA","xG Against","HD Shots Against","HD Saves","HD Goals Against","HDSV%","HDGAA","HDGSAA","Rush Attempts Against","Rebound Attempts Against","Avg. Shot Distance","Avg. Goal Distance"
"27","Spencer Martin","NYR","6","290.65","146","126","20","0.863","4.13","-4.88","16.3","42","31","11","0.738","2.27","-3.26","7","31","34.52","17.85"
"66","Samuel Ersson","PHI","29","1654.8333333333","637","550","87","0.863","3.15","-21.04","75.17","166","128","38","0.771","1.38","-7.41","23","115","34.81","22.91"
"80","Leevi Meriläinen","OTT","20","1094.4833333333","457","393","64","0.860","3.51","-16.68","47.85","131","101","30","0.771","1.64","-5.86","26","97","35.97","22.70"
"11","Petr Mrazek","ANA","10","515.88333333333","247","212","35","0.858","4.07","-9.42","27.47","77","61","16","0.792","1.86","-1.81","9","41","35.08","21.57"
"56","Cayden Primeau","TOR","3","181.46666666667","80","67","13","0.838","4.30","-4.72","6.83","16","11","5","0.688","1.65","-2.05","4","15","34.66","27.38"
"69","Mads Sogaard","OTT","2","77.416666666667","36","30","6","0.833","4.65","-2.27","3.83","10","9","1","0.900","0.78","0.84","3","6","38.00","36.00"
"78","Hunter Shepard","OTT","1","37.283333333333","12","10","2","0.833","3.22","-0.76","1.36","1","1","0","1.000","0.00","0.18","2","2","33.00","27.50"
"85","Aleksei Kolosov","PHI","4","120.01666666667","47","39","8","0.830","4.00","-3.13","4.56","10","8","2","0.800","1.00","-0.16","0","6","34.81","22.13"
"58","Jiri Patera","VAN","1","56.816666666667","40","33","7","0.825","7.39","-2.86","3.73","12","10","2","0.833","2.11","0.21","0","5","29.30","18.43"
"93","Vyacheslav Buteyets","ANA","1","20","13","10","3","0.769","9.00","-1.65","1.13","4","3","1","0.750","3.00","-0.26","2","1","26.46","21.67"
"13","Laurent Brossoit","S.J","1","59.15","24","18","6","0.750","6.09","-3.51","3.66","6","4","2","0.667","2.03","-0.89","0","7","36.42","22.17"
"23","Marcus Hogberg","NYI","1","13.483333333333","7","5","2","0.714","8.90","-1.28","0.64","2","1","1","0.500","4.45","-0.63","0","2","27.14","20.00"
"32","Brandon Halverson","T.B","1","0.1","0","0","0","-","0.00","0.00","0","0","0","0","-","0.00","0.00","0","0","-","-"
